name,aliases,description,filename
"""科技创新体系"",""我们的研究院,研发投入"",""走进我们的研发中心与创新实验室，了解我们的科研投入、专利成果以及驱动未来发展的科技创新体系。"",Tech_Innovation_System.mp4"
"""人才发展与培养"",""员工成长,企业大学"",""介绍我们为员工提供的全方位职业发展通道和培训体系，展现公司对人才培养的高度重视与长期投入。"",Talent_Development_Program.mp4"
"""供应链可持续性"",""绿色采购,负责任的供应链"",""介绍我们如何与合作伙伴一起，构建一个绿色、透明、负责任的供应链体系，推动全产业链的可持续发展。"",Sustainable_Supply_Chain.mp4"
"""董事会与公司治理"",""公司架构,透明治理"",""阐述我们现代化的公司治理结构、严格的合规体系与透明的信息披露制度，确保企业健康、长远发展。"",Corporate_Governance_Structure.mp4"
"""天地一体卫星通信"",""卫星电话,天上的基站"",""介绍我们构建的地面与卫星通信网络融合的“天地一体”系统，为海洋、沙漠等地区提供无缝信号覆盖。"",Satellite_Ground_Integration.mp4"
"""海洋通信网络"",""远洋上网,蓝色国土信息网"",""展示我们为远洋渔船、海上石油平台等建设的海洋宽带网络，保障国家蓝色经济领土的通信畅通。"",Maritime_Communication_Network.mp4"
"""航空互联网服务"",""飞机上上网,空中Wi-Fi"",""介绍我们与航空公司合作推出的“空中Wi-Fi”服务，让旅客在万米高空也能享受高速稳定的上网体验。"",In_Flight_Connectivity.mp4"
"""北斗高精度定位"",""北斗导航,厘米级定位"",""展示基于北斗卫星系统的高精度定位服务，如何为自动驾驶、无人机、测绘等领域提供厘米级精准定位。"",BeiDou_High_Precision_Positioning.mp4"
"""能力中台（AaaS）"",""技术中台,能力开放"",""介绍我们如何将通信、AI、大数据等核心能力封装并开放，让合作伙伴可以快速调用，共建数字生态。"",Ability_as_a_Service_Platform.mp4"
"""边缘计算（MEC）"",""什么是边缘计算,MEC应用"",""解析边缘计算如何将计算能力下沉到离用户最近的地方，以满足自动驾驶、工业控制等超低时延业务需求。"",Multi_Access_Edge_Computing.mp4"
"""云网融合解决方案"",""云网一体,上云专线"",""介绍我们将云与网络深度融合的解决方案，为企业提供一站式入云服务，具有高可靠、灵活、安全的特点。"",Cloud_Network_Convergence.mp4"
"""SD-WAN智能专线"",""企业专线,智能组网"",""展示新一代SD-WAN企业专线服务，如何帮助跨地域经营的企业实现分支机构的快速、灵活、低成本组网。"",SD_WAN_Private_Line.mp4"
"""5G消息（RCS）"",""不用下载APP发消息,5G消息是什么"",""体验无需安装APP即可实现文本、图片、音视频、机器人交互的5G消息，重塑企业与用户的沟通方式。"",RCS_5G_Messaging.mp4"
"""物联网卡与连接管理"",""设备SIM卡,CMP平台"",""介绍专为智能设备设计的物联网卡，以及我们强大的连接管理平台如何帮助企业高效管理海量设备。"",IoT_SIM_CMP_Platform.mp4"
"""OneNET物联网平台"",""物联网开发平台,设备接入"",""介绍我们的OneNET平台如何为开发者提供快速的设备接入、数据存储和应用开发服务，降低物联网应用门槛。"",OneNET_IoT_Platform.php"
"""区块链服务网络（BSN）"",""什么是BSN,区块链技术"",""介绍我们参与建设的国家级区块链服务网络（BSN），它如何为开发者提供低成本、便捷的区块链应用部署环境。"",Blockchain_Service_Network.mp4"
"""智慧港口解决方案"",""无人码头,自动化港口"",""观看5G技术如何赋能港口，实现龙门吊的远程控制、无人集卡的自动驾驶，大幅提升码头作业效率。"",Smart_Port_Solution.mp4"
"""智慧矿山无人作业"",""无人矿车,5G下矿井"",""深入地下矿井，了解5G网络如何解决井下通信难题，并支撑无人矿车、远程采掘等智能化作业。"",Smart_Mining_Operation.mp4"
"""智慧电网差动保护"",""5G智能电网,电力通信"",""了解5G网络切片和超低时延技术，如何满足电网“差动保护”业务的严苛要求，保障电网安全稳定运行。"",Smart_Grid_Protection.mp4"
"""智慧工厂质量检测"",""AI质检,机器视觉"",""展示在生产线上，高清摄像头与AI机器视觉算法如何协同工作，实时检测产品瑕疵，取代传统人眼质检。"",Smart_Factory_QC.mp4"
"""智慧工地安全管理"",""智能安全帽,工地监管"",""介绍智能安全帽、环境监测、塔吊预警等物联网技术，如何全方位提升建筑工地的安全生产管理水平。"",Smart_Construction_Site.mp4"
"""智慧物流仓储分拣"",""智能仓库,物流机器人"",""参观高度自动化的智慧物流中心，观看分拣机器人、无人叉车等设备在5G网络下如何高效协同作业。"",Smart_Logistics_Warehouse.mp4"
"""智慧金融风险控制"",""金融风控,反欺诈"",""介绍我们如何利用大数据和AI技术，构建强大的金融风控模型，帮助银行等机构精准识别和防范欺诈风险。"",Smart_Finance_Risk_Control.mp4"
"""数字政府与一网通办"",""智慧政务,市民云"",""展示我们如何助力政府构建“一网通办”平台，让数据多跑路、群众少跑腿，提升公共服务效率与体验。"",Digital_Government_Services.mp4"
"""云电脑桌面服务"",""口袋里的电脑,云桌面"",""介绍云电脑服务，用户可以通过任何终端设备访问云端的个人桌面和应用，实现安全、便捷的移动办公。"",Cloud_PC_Desktop.mp4"
"""云渲染技术"",""云端渲染,实时光追"",""了解云渲染技术如何将电影、建筑等行业的重度渲染任务放在云端完成，为设计师和创作者极大减负。"",Cloud_Rendering_Technology.mp4"
"""云游戏制作与发行"",""游戏上云,云原生游戏"",""介绍我们为游戏开发者提供的从云端开发、测试到发行的一站式云游戏解决方案，推动游戏产业变革。"",Cloud_Game_Development.mp4"
"""云VR/AR平台"",""云化XR,虚拟现实上云"",""探索云VR/AR技术如何突破终端性能瓶颈，将复杂的渲染计算置于云端，为用户带来更轻便的头显设备。"",Cloud_XR_Platform.mp4"
"""移动认证与一键登录"",""免密登录,本机号码认证"",""体验移动认证带来的便捷与安全，用户无需输入账号密码，即可凭本机号码一键完成APP或网站的登录。"",Mobile_Authentication_Login.mp4"
"""家庭云盘相册"",""家庭共享相册,照片备份"",""介绍和家亲APP中的家庭云相册功能，一个家庭成员上传照片，全家人都可以在电视、手机上共享浏览。"",Family_Cloud_Album.mp4"
"""智能音箱与语音助手"",""智能管家,AI音箱"",""与我们的智能音箱进行语音互动，体验其控制家电、播放音乐、查询信息等功能，感受智能语音的魅力。"",Smart_Speaker_Assistant.mp4"
"""智能门铃与远程对讲"",""可视门铃,远程开门"",""展示智能门铃的功能，无论身在何处，当访客来临时，你都可以通过手机APP与他视频对讲并远程开门。"",Smart_Doorbell_Intercom.mp4"
"""智能后视镜与行车记录"",""智能车载设备,开车导航"",""体验集成了导航、娱乐、行车记录、语音助手等多种功能的智能后视镜，让每一次驾驶都更安全有趣。"",Smart_Rearview_Mirror.mp4"
"""可穿戴设备与健康监测"",""智能手表,健康手环"",""了解我们的智能手表如何实时监测心率、血氧、睡眠等健康数据，并为你提供专业的运动健康建议。"",Wearables_Health_Monitoring.mp4p"
"""电子学生证与智慧校园"",""电子校徽,平安校园"",""介绍集成了校园消费、图书借阅、亲情通话、精准定位等多功能的电子学生证，守护孩子在校安全。"",e_School_ID_Card.mp4"
"""咪咕视频内容生态"",""看体育赛事,咪咕视频"",""了解旗下咪咕公司在体育赛事、影视综艺等方面的优质超高清内容，以及“内容+科技”的融合创新。"",Migu_Video_Ecosystem.mp4"
"""视频会议与远程办公"",""云视讯,在线开会"",""展示我们的高清、稳定、安全的企业级视频会议解决方案，如何支持千人在线，满足远程办公协同需求。"",Video_Conferencing_Solution.mp4"
"""呼叫中心与云客服"",""智能外呼,云总机"",""介绍我们为企业提供的云化呼叫中心解决方案，集成AI外呼、智能路由等功能，极大提升客户服务效率。"",Cloud_Contact_Center.mp4"
"""企业短信与富媒体消息"",""企业通知短信,服务消息"",""了解企业短信如何通过丰富的模板和上下行交互能力，成为企业进行会员通知与营销服务的重要工具。"",Enterprise_SMS_RBM.mp4"
"""DICT行业解决方案"",""DICT是什么,解决方案专家"",""综合展示我们作为DICT服务商，为政企客户提供的集通信（CT）、信息（IT）、数字（DT）技术于一体的融合解决方案。"",DICT_Industry_Solutions.mp4"
"""政企客户服务体系"",""大客户服务,客户经理"",""介绍我们为政企客户打造的“客户经理+技术专家”专属服务团队，以及全天候响应的专业服务保障体系。"",Enterprise_Customer_Service.mp4"
"""双碳目标与行动路线"",""碳达峰碳中和,企业减排"",""详细阐述我们响应国家“双碳”目标的战略规划与具体行动路线图，展示在绿色运营方面的决心与实践。"",Dual_Carbon_Goals_Action.mp4"
"""信息消费新模式"",""5G新消费,沉浸式消费"",""探索5G时代下，由超高清视频、VR/AR、云服务等催生的新型信息消费模式，如何改变人们的生活。"",New_Info_Consumption_Model.mp4"
"""网络强国战略贡献"",""建设网络强国,信息大动脉"",""回顾我们作为信息通信业的骨干力量，在建设网络强国、数字中国战略中所承担的使命与做出的贡献。"",Cyber_Power_Strategy_Contribution.mp4"
"""打击网络黑灰产"",""反诈中心,治理网络犯罪"",""联合执法部门，展示我们利用技术手段打击电信诈骗、网络水军等黑灰产业链，净化网络空间的案例。"",Combating_Cybercrime.mp4"
"""通用大模型技术"",""我们的大模型,AI生成内容"",""介绍我们自主研发的通用人工智能大模型，及其在文本生成、知识问答、代码编写等领域的强大能力。"",General_AI_Large_Model.mp4"
"""行业大模型应用"",""垂直领域大模型,AI赋能产业"",""展示我们将通用大模型与行业知识相结合，在政务、医疗、工业等垂直领域打造的专用AI模型及应用。"",Industry_AI_Large_Model.mp4"
"""元宇宙探索与实践"",""什么是元宇宙,移动元宇宙"",""分享我们对元宇宙的理解，以及在虚拟社交、数字资产、沉浸式体验等方面进行的前沿探索与应用实践。"",Metaverse_Exploration_Practice.mp4"
"""6G技术展望"",""6G是什么样的,下一代通信"",""展望6G技术的潜在方向，如太赫兹通信、通感一体、天地互联等，及其可能带来的颠覆性变革。"",6G_Technology_Outlook.mp4"
"""品牌故事与历史"",""中国移动发展史,我们的故事"",""回顾公司从成立至今的发展历程，讲述那些关键时刻的重大决策与背后感人的品牌故事，传承企业精神。"",Brand_Story_History.mp4"
"""未来网络演进"",""未来网络架构,IPv6+"",""探讨面向2030年的未来网络架构，如确定性网络、内生安全、IPv6+等技术如何演进以应对新挑战。"",Future_Network_Evolution.mp4"
"""智慧家庭工程师团队"",""装维师傅,上门服务"",""走近我们专业的智慧家庭工程师队伍，了解他们如何为用户提供网络排障、智能组网等专业的上门服务。"",Home_Network_Engineer_Team.mp4"
"""连接创造价值"",""连接的力量,我们的使命"",""通过一系列生动的案例，诠释我们的核心理念“连接创造价值”，展现连接为个人、家庭、社会带来的美好改变。"",Connectivity_Creates_Value.mp4"
"""智慧零售解决方案"",""新零售,无人商店"",""融合5G、AI和物联网技术，打造无人商店、智能货架和精准营销的未来零售新体验。"",Smart_Retail_Solution.mp4"
"""智慧能源与电力物联网"",""智能电网,能源管理"",""展示5G在智能抄表、线路巡检、虚拟电厂等方面的应用，助力能源行业实现数字化、智能化转型。"",Smart_Energy_IoT.mp4"
"""智慧传媒与5G直播"",""5G直播,超高清转播"",""揭秘5G+8K技术如何赋能大型体育赛事和活动的直播，为观众带来前所未有的多视角沉浸式观赛体验。"",Smart_Media_5G_Live.mp4"
"""客户忠诚度计划"",""移动会员,积分福利"",""介绍我们的客户忠诚度与积分体系，以及如何通过丰富的会员权益活动，持续回馈广大用户的信赖。"",Customer_Loyalty_Program.mp4"
"""中国移动APP功能详解"",""手机营业厅,掌上营业厅"",""一站式了解中国移动官方APP的各项便捷功能，包括话费查询、业务办理、生活服务等，尽享数字生活。"",CMCC_App_Features.mp4"
"""10086智慧客服中心"",""10086热线,智能客服"",""走进我们的10086智慧客服中心，了解AI语音导航、智能知识库如何赋能客服代表，提升服务效率。"",10086_Smart_Customer_Service.mp4"
"""网络运营中心（NOC）揭秘"",""网络监控,后台运维"",""探访7x24小时运转的网络运营中心，了解工程师们如何实时监控庞大网络，保障亿万用户的通信畅通。"",Network_Operations_Center.mp4"
"""信息无障碍（Accessibility）"",""关怀模式,老年人服务"",""介绍我们为视障、听障及老年用户群体所做的APP优化和专属服务，致力于让科技的温暖触达每一个人。"",Accessibility_Initiatives.mp4"
"""数据伦理与算法透明度"",""负责任的AI,算法公平"",""阐述我们在AI和大数据应用中遵循的数据伦理原则，以及为确保算法公平性、透明度所做的技术努力。"",Data_Ethics_AI_Transparency.mp4"
"""“梧桐”大数据平台"",""大数据平台,数据中台"",""介绍中国移动自主研发的“梧桐”大数据平台，它如何汇聚、治理和赋能海量数据，驱动企业精细化运营。"",Wutong_Big_Data_Platform.mp4"
"""NFV网络功能虚拟化"",""网络云化,NFV技术"",""解析网络功能虚拟化（NFV）技术，它如何将传统网络设备功能软件化，构建更敏捷、弹性的云化网络。"",Network_Function_Virtualization.mp4"
"""产业研究院前沿探索"",""产研院,前瞻研究"",""聚焦我们的产业研究院，了解其在6G、算力网络、元宇宙等下一代信息技术领域的前瞻性布局与研究。"",Industrial_Research_Institute.mp4"
"""“和创”大赛与生态合作"",""赋能初创公司,开发者大赛"",""展示我们通过“和创”大赛等平台，发掘并扶持优秀的科技初创企业，共同构建繁荣的数字产业生态。"",Innovation_Startup_Ecosystem.mp4"
"""GSMA全球产业合作"",""GSMA协会,国际标准"",""介绍我们作为GSMA重要成员，如何深度参与国际移动通信标准的制定，推动全球产业的协同发展与创新。"",GSMA_Global_Cooperation.mp4"
"""4G改变生活十年回顾"",""4G时代,移动互联网"",""回顾4G商用十年来的光辉历程，看它如何催生移动支付、短视频等应用，深刻地改变了中国社会。"",Decade_of_4G_Impact.mp4"
"""VoLTE高清音视频通话"",""高清通话,VoLTE是什么"",""体验基于4G/5G网络的VoLTE技术，它如何带来“拨通即接听”的极速体验和更高质量的音视频通话。"",VoLTE_HD_Calling.mp4"
"""国际漫游服务"",""出国用手机,国际流量"",""介绍我们覆盖全球的国际漫游服务，以及便捷的流量包和优惠政策，让您在海外也能轻松保持联系。"",International_Roaming_Service.mp4"
"""“和路通”智慧交通平台"",""交通大数据,车路协同"",""介绍我们的“和路通”平台，如何汇聚交通大数据，为城市交通管理和公众出行提供智能诱导服务。"",HeLuTong_Smart_Traffic.mp4"
"""智慧楼宇管理系统"",""智能建筑,楼宇自控"",""展示我们为商业楼宇提供的综合管理系统，集成能耗、安防、停车等子系统，实现精细化、绿色化运营。"",Smart_Building_Management.mp4"
"""云网吧解决方案"",""云电竞,无盘网吧"",""介绍面向网吧行业的云解决方案，通过将游戏部署在云端，实现终端的“无盘化”和内容的快速更新。"",Cloud_Cybercafe_Solution.mp4"
"""乡村教育远程课堂"",""城乡教育一体化,双师课堂"",""展示“双师课堂”模式，城市名师通过高清视频直播为乡村学生授课，促进教育资源的均衡发展。"",Rural_Remote_Education.mp4"
"""非物质文化遗产数字化"",""数字非遗,文化传承"",""观看我们如何利用5G+AR/VR技术，对非物质文化遗产进行数字化采集和互动式呈现，助力文化传承。"",Digital_Cultural_Heritage.mp4"
"""“蓝色梦想”公益计划"",""中西部教育,公益助学"",""回顾“蓝色梦想”公益计划，了解我们如何持续投入资源，支持中西部地区乡村教师和学生的发展。"",Blue_Dream_Charity.mp4"
"""移动认证SIMeID"",""数字身份,网络身份证"",""了解基于SIM卡的eID数字身份认证服务，它如何为用户在政务、金融等场景提供权威、安全的身份验证。"",SIM_eID_Digital_Identity.mp4"
"""物联网设备安全认证"",""IoT设备安全,设备身份认证"",""介绍我们为物联网设备提供的安全认证服务体系，从源头防止非法设备接入，保障网络与数据安全。"",IoT_Device_Security.mp4"
"""云手机解决方案"",""云化手机,手机分身"",""体验云手机技术，在你的实体手机上，可以同时运行一个或多个存储和计算都在云端的虚拟手机。"",Cloud_Phone_Solution.mp4"
"""服务机器人联网方案"",""机器人通信,智能机器人"",""介绍我们为服务机器人提供的稳定、低时延的5G联网方案，确保其在商场、餐厅等复杂环境中稳定工作。"",Service_Robot_Connectivity.mp4"
"""网络切片商城（Slicing Mall）"",""5G切片订购,网络即服务"",""展示我们的网络切片商城，企业客户可以像网购一样，在线自助申请、订购和管理专属的5G网络切片。"",Network_Slicing_Mall.mp4"
"""员工数字化技能培训"",""赋能员工,企业内训"",""介绍我们为员工打造的在线学习和数字化技能培训平台，鼓励全员持续学习，适应数字化时代的要求。"",Employee_Digital_Skills_Training.mp4"
"""和背包（And-PACK）"",""便携式5G基站,应急通信包"",""认识我们的“和背包”应急通信产品，它将5G基站集成在一个背包内，可单兵携带，快速开通网络。"",AndPACK_Portable_5G_Station.mp4"
